Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Calorie Tracker\Project Outputs for Calorie Tracker\Pick Place\Pick Place for Calorie Tracker PCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       06-05-26
Time:       08:04
Revision:   a842be101670ecd60e1a0b35466879c2b5e77815
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW2","PTS645SM43SMTR92LFS","BottomLayer","FP-PTS645SM43SMTR92LFS-MFG","6847.008","5610.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SM43SMTR92LFS","BottomLayer","FP-PTS645SM43SMTR92LFS-MFG","7352.008","5610.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"U3","MCP73831T-2ACI/OT","TopLayer","MCP73831T-2ACI/OT","8581.000","5542.598","180","IC BATT CNTL LI-ION 1CEL SOT23-5"
"U2","TL1963A-33DCYR","TopLayer","DCY0004A_N","9110.000","8540.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","7019.961","6415.039","90","RF TXRX MOD BT WIFI PCB TH SMD"
"SW19","JS102011SAQN","TopLayer","SW_JS102011SAQN","9225.866","9200.000","90","SWITCH SLIDE SPDT 300MA 6V"
"SW18","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","9043.504","10216.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW17","EVQ-P7A01P","TopLayer","EVQ_P7_PAN","6455.000","9505.000","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW16","EVQ-P7A01P","TopLayer","EVQ_P7_PAN","6454.134","8855.000","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW15","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","9040.000","9665.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW14","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","8580.000","8755.984","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW13","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","8578.504","8201.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW12","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","8588.504","7106.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW11","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7185.000","7105.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW10","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7185.000","7655.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW9","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7188.504","8203.583","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW8","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7188.504","8756.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW7","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7888.504","7106.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW6","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7885.000","7655.000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW5","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7888.504","8206.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW4","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","7888.504","8756.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW3","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","8578.504","7656.417","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"R44","100K","TopLayer","0402_RESISTOR_FOOTPRINT","7072.008","5885.000","180","RES 100K OHM 1% 1/16W 0402"
"R43","100K","TopLayer","0402_RESISTOR_FOOTPRINT","7072.008","6055.000","0","RES 100K OHM 1% 1/16W 0402"
"R42","4K7","TopLayer","RESC1005X37N","8542.008","5435.000","180","RES 4.7K OHM 1% 1/16W 0402"
"R41","1K","TopLayer","RESC1005X37N","8731.000","5487.000","270","RES 1K OHM 1% 1/16W 0402"
"R40","100R","TopLayer","0402_RESISTOR_FOOTPRINT","9077.008","10375.000","180","RES 100 OHM 1% 1/16W 0402"
"R39","10K","TopLayer","0402_RESISTOR_FOOTPRINT","9150.000","10392.008","90","RES 10K OHM 1% 1/16W 0402"
"R38","100R","TopLayer","0402_RESISTOR_FOOTPRINT","6587.992","9625.000","180","RES 100 OHM 1% 1/16W 0402"
"R37","10K","TopLayer","0402_RESISTOR_FOOTPRINT","6685.000","9527.992","270","RES 10K OHM 1% 1/16W 0402"
"R36","100R","TopLayer","0402_RESISTOR_FOOTPRINT","6587.992","8970.000","180","RES 100 OHM 1% 1/16W 0402"
"R35","10K","TopLayer","0402_RESISTOR_FOOTPRINT","6685.000","8872.008","270","RES 10K OHM 1% 1/16W 0402"
"R34","100R","TopLayer","0402_RESISTOR_FOOTPRINT","9072.992","9825.000","180","RES 100 OHM 1% 1/16W 0402"
